campeonato italiano
 
inter,22,26,21,5,7,1.2380952380952381
milan,18,23,24,-1,5,0.9583333333333334
juventus,14,22,22,0,4,1.0
roma,13,21,25,-4,3,0.84
 
milan,milan,3,2
milan,milan,2,1
milan,milan,2,1
roma,roma,3,3
roma,roma,2,2
roma,roma,2,1
juventus,juventus,3,1
juventus,juventus,1,2
juventus,juventus,2,1
inter,inter,3,2
inter,inter,3,1
inter,inter,3,2
milan,inter,1,2
milan,roma,2,2
milan,juventus,3,2
inter,milan,3,1
inter,roma,3,2
inter,juventus,2,2
roma,milan,1,1
roma,inter,1,3
roma,juventus,1,2
juventus,milan,1,2
juventus,inter,3,1
juventus,roma,1,2
