Gauchao
 
Inter,31,38,29,9,9,1.3103448275862069
Brasil de Pelotas,31,35,26,9,9,1.3461538461538463
Novo Hamburgo,25,33,28,5,7,1.1785714285714286
Sao Luiz,24,35,32,3,7,1.09375
Ypiranga,23,30,31,-1,7,0.967741935483871
Gremio,17,31,38,-7,5,0.8157894736842105
Caxias,16,29,33,-4,3,0.8787878787878788
Sao Jose,16,31,39,-8,4,0.7948717948717948
Juventude,14,30,36,-6,2,0.8333333333333334
 
Gremio,Inter,1,2
Gremio,Caxias,3,3
Gremio,Juventude,3,2
Gremio,Novo Hamburgo,1,3
Gremio,Sao Jose,2,2
Gremio,Brasil de Pelotas,1,3
Gremio,Ypiranga,1,3
Gremio,Sao Luiz,3,2
Inter,Gremio,2,1
Inter,Caxias,3,2
Inter,Juventude,3,3
Inter,Novo Hamburgo,2,1
Inter,Sao Jose,2,3
Inter,Brasil de Pelotas,3,3
Inter,Ypiranga,3,1
Inter,Sao Luiz,2,1
Caxias,Gremio,2,1
Caxias,Inter,2,3
Caxias,Juventude,1,1
Caxias,Novo Hamburgo,2,1
Caxias,Sao Jose,2,2
Caxias,Brasil de Pelotas,1,1
Caxias,Ypiranga,2,3
Caxias,Sao Luiz,2,2
Juventude,Gremio,3,2
Juventude,Inter,1,3
Juventude,Caxias,1,1
Juventude,Novo Hamburgo,3,3
Juventude,Sao Jose,3,3
Juventude,Brasil de Pelotas,1,2
Juventude,Ypiranga,1,1
Juventude,Sao Luiz,3,3
Novo Hamburgo,Gremio,3,1
Novo Hamburgo,Inter,2,2
Novo Hamburgo,Caxias,3,1
Novo Hamburgo,Juventude,3,2
Novo Hamburgo,Sao Jose,2,1
Novo Hamburgo,Brasil de Pelotas,1,2
Novo Hamburgo,Ypiranga,3,1
Novo Hamburgo,Sao Luiz,1,1
Sao Jose,Gremio,2,3
Sao Jose,Inter,1,3
Sao Jose,Caxias,3,3
Sao Jose,Juventude,2,1
Sao Jose,Novo Hamburgo,3,1
Sao Jose,Brasil de Pelotas,1,3
Sao Jose,Ypiranga,1,3
Sao Jose,Sao Luiz,1,3
Brasil de Pelotas,Gremio,3,2
Brasil de Pelotas,Inter,2,2
Brasil de Pelotas,Caxias,1,2
Brasil de Pelotas,Juventude,2,2
Brasil de Pelotas,Novo Hamburgo,2,3
Brasil de Pelotas,Sao Jose,3,1
Brasil de Pelotas,Ypiranga,2,1
Brasil de Pelotas,Sao Luiz,1,2
Ypiranga,Gremio,2,3
Ypiranga,Inter,2,1
Ypiranga,Caxias,2,1
Ypiranga,Juventude,1,2
Ypiranga,Novo Hamburgo,2,2
Ypiranga,Sao Jose,3,2
Ypiranga,Brasil de Pelotas,1,2
Ypiranga,Sao Luiz,3,2
Sao Luiz,Gremio,1,3
Sao Luiz,Inter,3,2
Sao Luiz,Caxias,3,2
Sao Luiz,Juventude,3,1
Sao Luiz,Novo Hamburgo,2,1
Sao Luiz,Sao Jose,2,3
Sao Luiz,Brasil de Pelotas,2,3
Sao Luiz,Ypiranga,3,1
